"Cenario.x";"Replicacao";"Soma_DespesaTurnover.x";"Soma_DespesaAbsenteismo.x";"Soma_DespesaMultas.x";"Soma_DespesaAcoesRegressivasINSS.x";"Cenario.y";"Soma_DespesaTurnover.y";"Soma_DespesaAbsenteismo.y";"Soma_DespesaMultas.y";"Soma_DespesaAcoesRegressivasINSS.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"SemIniciativa";81;-53037,1498384495;-3476772,13080484;0;-99545,4545454545;"Iniciativa1";-30791,9789667718;-2793717,89831454;0;-70909,0909090909;95454,5454545454;22245,1708716776;683054,232490299;0;28636,3636363636;733935,76699834;7,68885089236356
"SemIniciativa";82;-53334,5116329205;-3436124,63533572;0;-99545,4545454545;"Iniciativa1";-30402,0098341441;-2774432,93173366;0;-70909,0909090909;95454,5454545454;22932,5017987765;661691,703602064;0;28636,3636363636;713260,569037204;7,47225358038976
"SemIniciativa";83;-53533,8655907099;-3484582,1273641;0;-99545,4545454545;"Iniciativa1";-30393,8713276604;-2761955,4160696;0;-70909,0909090909;95454,5454545454;23139,9942630494;722626,711294496;0;28636,3636363636;774403,069193909;8,1127940582219
"SemIniciativa";84;-53271,5937181205;-3460779,15578624;0;-99545,4545454545;"Iniciativa1";-30616,8988894126;-2758335,64645893;0;-70909,0909090909;95454,5454545454;22654,6948287079;702443,509327307;0;28636,3636363636;753734,567792378;7,89626690068206
"SemIniciativa";85;-52780,1787149435;-3481781,71492158;0;-99545,4545454545;"Iniciativa1";-30245,0361062905;-2787470,26037704;0;-70909,0909090909;95454,5454545454;22535,1426086531;694311,454544535;0;28636,3636363636;745482,960789552;7,80982149398578
"SemIniciativa";86;-53545,5390519616;-3463151,70674219;0;-99545,4545454545;"Iniciativa1";-30932,6352194288;-2808965,88844693;0;-70909,0909090909;95454,5454545454;22612,9038325328;654185,818295263;0;28636,3636363636;705435,085764159;7,3902723270531
"SemIniciativa";87;-54012,2965587668;-3469592,25078978;0;-99545,4545454545;"Iniciativa1";-30438,4067683143;-2766916,09847447;0;-70909,0909090909;95454,5454545454;23573,8897904526;702676,152315319;0;28636,3636363636;754886,405742135;7,90833377444141
"SemIniciativa";88;-53709,5673386603;-3537549,71789665;0;-99545,4545454545;"Iniciativa1";-30255,8754128489;-2805903,47001444;0;-70909,0909090909;95454,5454545454;23453,6919258114;731646,247882207;0;28636,3636363636;783736,303444382;8,21057079798877
"SemIniciativa";89;-54259,2953879504;-3441020,73209031;0;-99545,4545454545;"Iniciativa1";-30665,4179019337;-2778587,34101051;0;-70909,0909090909;95454,5454545454;23593,8774860167;662433,391079801;0;28636,3636363636;714663,632202181;7,48695233735619
"SemIniciativa";90;-53494,8538187216;-3465472,43032431;0;-99545,4545454545;"Iniciativa1";-30631,6880188648;-2799705,31225269;0;-70909,0909090909;95454,5454545454;22863,1657998568;665767,118071616;0;28636,3636363636;717266,647507837;7,51422202151067
"SemIniciativa";91;-53765,5811624258;-3456384,03417887;0;-99545,4545454545;"Iniciativa1";-30768,8722158766;-2764018,29522063;0;-70909,0909090909;95454,5454545454;22996,7089465492;692365,738958236;0;28636,3636363636;743998,811541149;7,79427326376442
"SemIniciativa";92;-53121,7270265541;-3410903,57900617;0;-99545,4545454545;"Iniciativa1";-30332,3864738251;-2742096,88273175;0;-70909,0909090909;95454,5454545454;22789,340552729;668806,696274419;0;28636,3636363636;720232,400463511;7,54529181437965
